Tiempo (s),Datos Seriales
5.47,5013.75
5.48,5013.94
5.49,5013.94
5.5,5014.12
5.51,5013.94
5.5200000000000005,5014.31
5.53,5014.12
5.54,5014.31
5.55,5014.5
5.5600000000000005,5014.5
5.57,5014.5
5.58,5014.69
5.59,5014.87
5.6000000000000005,5015.06
5.61,5014.87
5.62,5015.06
5.63,5015.25
5.64,5015.25
5.65,5015.25
5.66,5015.44
5.67,5015.25
5.68,5015.44
5.69,5015.44
5.7,5015.62
5.71,5015.62
5.72,5015.62
5.73,5015.81
5.74,5015.81
5.75,5016.0
5.76,5016.19
5.7700000000000005,5016.19
5.78,5016.19
5.79,5016.19
5.8,5016.19
5.8100000000000005,5016.37
5.82,5016.37
5.83,5016.37
5.84,5016.37
5.8500000000000005,5016.56
5.86,5016.56
5.87,5016.75
5.88,5016.75
5.89,5016.94
5.9,5016.94
5.91,5016.94
5.92,5017.12
5.93,5017.12
5.94,5016.94
5.95,5017.31
5.96,5017.31
5.97,5017.31
5.98,5017.5
5.99,5017.5
6.0,5017.69
6.01,5017.69
6.0200000000000005,5017.5
6.03,5017.87
6.04,5017.87
6.05,5017.87
6.0600000000000005,5017.87
6.07,5017.87
6.08,5018.25
6.09,5018.06
6.1000000000000005,5018.25
6.11,5018.25
6.12,5018.25
6.13,5018.25
6.140000000000001,5018.25
6.15,5018.25
6.16,5018.25
6.17,5018.44
6.18,5018.44
6.19,5018.44
6.2,5018.62
6.21,5018.81
6.22,5018.62
6.23,5018.81
6.24,5018.81
6.25,5018.62
6.26,5018.81
6.2700000000000005,5018.81
6.28,5019.0
6.29,5018.81
6.3,5019.0
6.3100000000000005,5019.0
6.32,5019.0
6.33,5019.19
6.34,5019.19
6.3500000000000005,5019.19
6.36,5019.19
6.37,5019.37
6.38,5019.19
6.390000000000001,5019.19
6.4,5019.37
6.41,5019.56
6.42,5019.56
6.43,5019.75
6.44,5019.56
6.45,5019.56
6.46,5019.56
6.47,5019.56
6.48,5019.94
6.49,5019.94
6.5,5019.75
6.51,5019.94
6.5200000000000005,5019.75
6.53,5020.12
6.54,5019.94
6.55,5019.94
6.5600000000000005,5020.12
6.57,5020.31
6.58,5020.31
6.59,5020.31
6.6000000000000005,5020.12
6.61,5020.31
6.62,5020.31
6.63,5020.31
6.640000000000001,5020.31
6.65,5020.31
6.66,5020.31
6.67,5020.5
6.68,5020.5
6.69,5020.31
6.7,5020.5
6.71,5020.69
6.72,5020.5
6.73,5020.69
6.74,5020.69
6.75,5020.69
6.76,5020.69
6.7700000000000005,5020.69
6.78,5020.69
6.79,5020.87
6.8,5020.69
6.8100000000000005,5020.87
6.82,5020.69
6.83,5020.87
6.84,5021.06
6.8500000000000005,5021.06
6.86,5020.87
6.87,5021.06
6.88,5021.06
6.890000000000001,5021.25
6.9,5021.06
6.91,5021.06
6.92,5021.25
6.93,5021.25
6.94,5021.25
6.95,5021.25
6.96,5021.44
6.97,5021.25
6.98,5021.44
6.99,5021.44
7.0,5021.25
7.01,5021.44
7.0200000000000005,5021.44
7.03,5021.62
7.04,5021.62
7.05,5021.44
7.0600000000000005,5021.44
7.07,5021.62
7.08,5021.62
7.09,5021.62
7.1000000000000005,5021.62
7.11,5021.62
7.12,5021.81
7.13,5021.62
7.140000000000001,5021.81
7.15,5022.0
7.16,5021.81
7.17,5021.81
7.18,5022.0
7.19,5022.0
7.2,5022.0
7.21,5021.81
7.22,5022.0
7.23,5022.19
7.24,5022.19
7.25,5022.37
7.26,5022.19
7.2700000000000005,5022.37
7.28,5022.19
7.29,5022.37
7.3,5022.37
7.3100000000000005,5022.37
7.32,5022.56
7.33,5022.56
7.34,5022.37
7.3500000000000005,5022.56
7.36,5022.56
7.37,5022.56
7.38,5022.75
7.390000000000001,5022.75
7.4,5022.75
7.41,5022.75
7.42,5022.75
7.43,5022.94
7.44,5022.75
7.45,5022.94
7.46,5022.75
7.47,5022.75
7.48,5022.94
7.49,5022.94
7.5,5022.94
7.51,5022.94
7.5200000000000005,5022.94
7.53,5022.94
7.54,5022.94
7.55,5022.94
7.5600000000000005,5022.94
7.57,5023.12
7.58,5023.12
7.59,5022.94
7.6000000000000005,5023.12
7.61,5023.31
7.62,5023.12
7.63,5023.12
7.640000000000001,5023.31
7.65,5023.31
7.66,5023.31
7.67,5023.31
7.68,5023.5
7.69,5023.31
7.7,5023.5
7.71,5023.5
7.72,5023.31
7.73,5023.5
7.74,5023.5
7.75,5023.5
7.76,5023.31
7.7700000000000005,5023.5
7.78,5023.5
7.79,5023.5
7.8,5023.5
7.8100000000000005,5023.5
7.82,5023.87
7.83,5023.69
7.84,5023.87
7.8500000000000005,5023.69
7.86,5023.69
7.87,5023.69
7.88,5023.87
7.890000000000001,5023.69
7.9,5023.87
7.91,5023.69
7.92,5023.87
7.930000000000001,5024.06
7.94,5023.87
7.95,5023.87
7.96,5024.06
7.97,5024.06
7.98,5024.06
7.99,5024.06
8.0,5024.06
8.01,5024.25
8.02,5024.25
8.03,5024.25
8.040000000000001,5024.06
8.05,5024.25
8.06,5024.06
8.07,5024.06
8.08,5024.25
8.09,5024.25
8.1,5024.25
8.11,5024.25
8.120000000000001,5024.25
8.13,5024.44
8.14,5024.25
8.15,5024.25
8.16,5024.25
8.17,5024.62
8.18,5024.44
8.19,5024.44
8.2,5024.25
8.21,5024.44
8.22,5024.62
8.23,5024.44
8.24,5024.44
8.25,5024.62
8.26,5024.62
8.27,5024.62
8.28,5024.62
8.290000000000001,5024.44
8.3,5024.81
8.31,5024.62
8.32,5024.62
8.33,5024.62
8.34,5024.81
8.35,5024.81
8.36,5024.81
8.370000000000001,5024.81
8.38,5024.81
8.39,5024.81
8.4,5024.81
8.41,5024.62
8.42,5024.81
8.43,5024.81
8.44,5024.81
8.45,5024.81
8.46,5024.62
8.47,5024.81
8.48,5024.81
8.49,5024.62
8.5,5024.81
8.51,5024.81
8.52,5024.81
8.53,5024.81
8.540000000000001,5025.0
8.55,5024.81
8.56,5024.81
8.57,5025.0
8.58,5025.0
8.59,5025.0
8.6,5025.0
8.61,5024.81
8.620000000000001,5025.19
8.63,5025.19
8.64,5025.19
8.65,5025.19
8.66,5025.19
8.67,5025.19
8.68,5025.0
8.69,5025.19
8.700000000000001,5025.19
8.71,5025.19
8.72,5025.19
8.73,5025.19
8.74,5025.19
8.75,5025.19
8.76,5025.19
8.77,5025.37
8.78,5025.37
8.790000000000001,5025.19
8.8,5025.19
8.81,5025.19
8.82,5025.19
8.83,5025.19
8.84,5025.19
8.85,5025.19
8.86,5025.37
8.870000000000001,5025.37
8.88,5025.19
8.89,5025.37
8.9,5025.19
8.91,5025.37
8.92,5025.37
8.93,5025.37
8.94,5025.37
8.950000000000001,5025.37
8.96,5025.56
8.97,5025.37
8.98,5025.37
8.99,5025.56
9.0,5025.37
9.01,5025.56
9.02,5025.37
9.03,5025.37
9.040000000000001,5025.56
9.05,5025.56
9.06,5025.56
9.07,5025.75
9.08,5025.56
9.09,5025.37
9.1,5025.75
9.11,5025.56
9.120000000000001,5025.75
9.13,5025.75
9.14,5025.56
9.15,5025.75
9.16,5025.75
9.17,5025.94
9.18,5025.75
9.19,5025.75
9.200000000000001,5025.75
9.21,5025.94
9.22,5025.56
9.23,5025.75
9.24,5025.56
9.25,5025.75
9.26,5025.75
9.27,5025.56
9.28,5025.75
9.290000000000001,5025.75
9.3,5025.75
9.31,5025.94
9.32,5025.94
9.33,5025.94
9.34,5025.94
9.35,5026.12
9.36,5026.12
9.370000000000001,5025.94
9.38,5025.94
9.39,5025.94
9.4,5025.94
9.41,5026.31
9.42,5026.12
9.43,5026.12
9.44,5026.12
9.450000000000001,5026.31
9.46,5026.12
9.47,5026.31
9.48,5026.31
9.49,5026.12
9.5,5026.31
9.51,5026.12
9.52,5026.12
9.53,5026.31
9.540000000000001,5026.31
9.55,5026.31
9.56,5026.12
9.57,5026.31
9.58,5026.31
9.59,5026.31
9.6,5026.31
9.61,5026.31
9.620000000000001,5026.31
9.63,5026.31
9.64,5026.5
9.65,5026.5
9.66,5026.31
9.67,5026.5
9.68,5026.5
9.69,5026.69
9.700000000000001,5026.5
9.71,5026.5
9.72,5026.31
9.73,5026.5
9.74,5026.5
9.75,5026.69
9.76,5026.5
9.77,5026.69
9.78,5026.69
